minCorated, size, coverage, meanRMSE
10, 10, 0.77149, 1.5945891692962637
10, 20, 0.86523, 1.4529549633157128
10, 30, 0.90489, 1.3612018650841462
10, 40, 0.9288, 1.2964865853988363
10, 50, 0.9424, 1.2441787958185804
10, 60, 0.95258, 1.200550121492053
10, 70, 0.95904, 1.1656805651355124
10, 80, 0.9643, 1.1341317968636664
10, 90, 0.96815, 1.1101146891113411
10, 100, 0.97077, 1.0904136560900775

20, 10, 0.82461, 1.4212337500657348
20, 20, 0.89071, 1.2798149630524265
20, 30, 0.9214, 1.1976135760195086
20, 40, 0.93757, 1.1409923561133668
20, 50, 0.94849, 1.099689578811647
20, 60, 0.95792, 1.0681216594697365
20, 70, 0.96321, 1.043571110182544
20, 80, 0.96825, 1.0241916108479903
20, 90, 0.97057, 1.005653611892256
20, 100, 0.97313, 0.9916802268078021

30, 10, 0.81337, 1.3424584329506748
30, 20, 0.86775, 1.1974664635852237
30, 30, 0.88931, 1.1186528449002118
30, 40, 0.90124, 1.0700021302059803
30, 50, 0.91027, 1.036047326720865
30, 60, 0.91703, 1.0121998893064805
30, 70, 0.92061, 0.9906255506402203
30, 80, 0.92347, 0.9740717577810187
30, 90, 0.92616, 0.960637451276829
30, 100, 0.92741, 0.9475187742536422

40, 10, 0.79554, 1.2677975293586963
40, 20, 0.84363, 1.13319204302083
40, 30, 0.8619, 1.0654244786523002
40, 40, 0.87326, 1.0206221630938053
40, 50, 0.88062, 0.9933053639808789
40, 60, 0.88452, 0.9726811508499048
40, 70, 0.88752, 0.9550061778411775
40, 80, 0.88988, 0.9404162488764443
40, 90, 0.89163, 0.9276557613387378
40, 100, 0.89315, 0.917503143095105

50, 10, 0.77068, 1.2210492961210275
50, 20, 0.81251, 1.094552961882902
50, 30, 0.82643, 1.0297597288505849
50, 40, 0.83363, 0.9917701868712104
50, 50, 0.83823, 0.964489922817693
50, 60, 0.84107, 0.9428693775872586
50, 70, 0.84319, 0.9275404859115431
50, 80, 0.84454, 0.9148703944266322
50, 90, 0.84556, 0.9040430997776105
50, 100, 0.8464, 0.8953703757920527

60, 10, 0.74666, 1.193066387560142
60, 20, 0.77968, 1.06218436767954
60, 30, 0.7915, 1.0044437046542123
60, 40, 0.79694, 0.9684939918882884
60, 50, 0.80092, 0.9455170475381761
60, 60, 0.80305, 0.9269985116418982
60, 70, 0.80455, 0.9129025649287341
60, 80, 0.80564, 0.9005386458015081
60, 90, 0.80637, 0.8914440170199566
60, 100, 0.80732, 0.882561432568303

70, 10, 0.71758, 1.1441481356397862
70, 20, 0.74758, 1.0300105476490673
70, 30, 0.75757, 0.9784579875964936
70, 40, 0.76394, 0.9470177514981396
70, 50, 0.76693, 0.9241400456850674
70, 60, 0.76861, 0.9082622691063876
70, 70, 0.77, 0.8949786855935583
70, 80, 0.77099, 0.8845387284130822
70, 90, 0.77164, 0.8763700210358493
70, 100, 0.77233, 0.8698768409898461

80, 10, 0.69144, 1.1032793214360306
80, 20, 0.71862, 0.9996507725230833
80, 30, 0.729, 0.9511434769718005
80, 40, 0.73298, 0.9227169137425965
80, 50, 0.73577, 0.9024231064936727
80, 60, 0.73751, 0.8874048375482397
80, 70, 0.73844, 0.877518683873806
80, 80, 0.73932, 0.8704579727282856
80, 90, 0.7398, 0.8643034551956144
80, 100, 0.74027, 0.8586539596603006

90, 10, 0.65922, 1.0732293999886362
90, 20, 0.68415, 0.9694858974199129
90, 30, 0.69214, 0.9278271501902817
90, 40, 0.69615, 0.9021859013255661
90, 50, 0.69827, 0.8842029768117149
90, 60, 0.69931, 0.8735481253227152
90, 70, 0.70031, 0.8648976111955109
90, 80, 0.70094, 0.857893997624609
90, 90, 0.70135, 0.8519184287888226
90, 100, 0.70167, 0.8479464601777722

100, 10, 0.62379, 1.0421741941577214
100, 20, 0.64585, 0.9549166689100896
100, 30, 0.65271, 0.9146202169184007
100, 40, 0.65565, 0.8925806811265903
100, 50, 0.65717, 0.8775162785915898
100, 60, 0.65819, 0.8664649902298162
100, 70, 0.65887, 0.8597598797927348
100, 80, 0.65934, 0.8540623839947082
100, 90, 0.65992, 0.8491123911631895
100, 100, 0.66025, 0.8462590811009075

