minCorated, size, coverage, meanRMSE
10, 10, 0.51832, 0.525527330110072
10, 20, 0.69276, 0.5664185967964744
10, 30, 0.78453, 0.5885407443468227
10, 40, 0.84364, 0.6021667754020998
10, 50, 0.88453, 0.6134689222548303
10, 60, 0.91066, 0.6225535585196844
10, 70, 0.92888, 0.6289292149750686
10, 80, 0.94262, 0.6356052718312891
10, 90, 0.95278, 0.6418926098903822
10, 100, 0.96135, 0.6466932579475486
10, 4293.2
20, 10, 0.69415, 0.651007706185216
20, 20, 0.8227, 0.6649715565308676
20, 30, 0.88106, 0.6745617584307154
20, 40, 0.91342, 0.6799432491122676
20, 50, 0.93622, 0.6853710842557644
20, 60, 0.94806, 0.6886711199065272
20, 70, 0.95748, 0.6921152963213568
20, 80, 0.9638, 0.6947662428578188
20, 90, 0.96872, 0.698994762136048
20, 100, 0.97237, 0.7030726121400652
20, 1550.0
30, 10, 0.73093, 0.6840047812966448
30, 20, 0.83432, 0.6920716436064763
30, 30, 0.87072, 0.6985666678548162
30, 40, 0.89111, 0.7032628622021493
30, 50, 0.90356, 0.7079831293421273
30, 60, 0.91083, 0.7108200856885502
30, 70, 0.91702, 0.7144828288205366
30, 80, 0.92065, 0.7180084293827007
30, 90, 0.9236, 0.7221350633330842
30, 100, 0.92611, 0.7264088646381951
30, 1232.3
40, 10, 0.7439, 0.7114609679779094
40, 20, 0.82088, 0.7141725895471058
40, 30, 0.8497, 0.7183470501854795
40, 40, 0.86442, 0.7217830141167985
40, 50, 0.87472, 0.7244256992894244
40, 60, 0.88104, 0.7267483460159897
40, 70, 0.88433, 0.7299655244847708
40, 80, 0.88738, 0.7335326465844032
40, 90, 0.88997, 0.7378430296030011
40, 100, 0.89151, 0.7410984130581791
40, 1065.2
50, 10, 0.72802, 0.7194962775380178
50, 20, 0.79311, 0.7201886832024513
50, 30, 0.81732, 0.7229892093862298
50, 40, 0.82811, 0.7268460387872607
50, 50, 0.83416, 0.7302277193099022
50, 60, 0.83842, 0.7337153622619567
50, 70, 0.84106, 0.7383482674870315
50, 80, 0.84292, 0.74213948288782
50, 90, 0.84458, 0.7460970310193961
50, 100, 0.84605, 0.7496511131060705
50, 987.0
60, 10, 0.71394, 0.7311607438602318
60, 20, 0.76844, 0.7344856294404342
60, 30, 0.78515, 0.7388800587650817
60, 40, 0.79327, 0.7411833496849165
60, 50, 0.79777, 0.7441528427965209
60, 60, 0.80095, 0.7494119496110601
60, 70, 0.80322, 0.7535401639043754
60, 80, 0.80499, 0.7577504434890319
60, 90, 0.80618, 0.7622203891064385
60, 100, 0.80677, 0.7667870653653259
60, 900.4
70, 10, 0.69661, 0.747252859840146
70, 20, 0.73974, 0.7481429786215522
70, 30, 0.75372, 0.7520521356197002
70, 40, 0.76022, 0.7557692789812969
70, 50, 0.76453, 0.7607707384938805
70, 60, 0.76753, 0.7670986629340739
70, 70, 0.76928, 0.7716745241049254
70, 80, 0.77041, 0.7769155610528927
70, 90, 0.77151, 0.780891972648905
70, 100, 0.77204, 0.7847652301676583
70, 833.5
80, 10, 0.67677, 0.7553588507550159
80, 20, 0.71278, 0.7575990567637312
80, 30, 0.7253, 0.7614424383496832
80, 40, 0.73087, 0.7675869457314988
80, 50, 0.73446, 0.7746513371354862
80, 60, 0.73662, 0.7802760354322109
80, 70, 0.73819, 0.7850697457883912
80, 80, 0.73891, 0.7899965654585122
80, 90, 0.73962, 0.7927890325455313
80, 100, 0.74015, 0.7962894095527192
80, 768.3
90, 10, 0.64955, 0.7596284860929079
90, 20, 0.67946, 0.7636201431458542
90, 30, 0.68933, 0.7682540003691015
90, 40, 0.6943, 0.7756076931102187
90, 50, 0.69739, 0.7833240244653218
90, 60, 0.69903, 0.787752879032502
90, 70, 0.69981, 0.7913239381118803
90, 80, 0.70063, 0.7958632815063934
90, 90, 0.7012, 0.7994171966878787
90, 100, 0.70153, 0.802070799493482
90, 715.7
100, 10, 0.61437, 0.7719115528555921
100, 20, 0.64145, 0.7732052118364899
100, 30, 0.64999, 0.7817333550161865
100, 40, 0.65413, 0.7894906279718907
100, 50, 0.65661, 0.7968099163093518
100, 60, 0.65766, 0.8004634391770213
100, 70, 0.65859, 0.8040889390946657
100, 80, 0.65926, 0.8079424569064592
100, 90, 0.65971, 0.8099970523380619
100, 100, 0.65996, 0.8124008655151824
100, 657.8
