minCorated, size, coverage, meanRMSE
10, 10, 0.50711, 0.6236243931601803
10, 20, 0.68443, 0.617836657042322
10, 30, 0.78936, 0.6138180697227459
10, 40, 0.85195, 0.6105028127975315
10, 50, 0.89019, 0.6077597770901414
10, 60, 0.91387, 0.6071764459449754
10, 70, 0.93245, 0.6062453600999217
10, 80, 0.947, 0.6066431302339227
10, 90, 0.95639, 0.6072797672601167
10, 100, 0.96393, 0.6074931591356855

20, 10, 0.69686, 0.684007141074785
20, 20, 0.83308, 0.6613019712145215
20, 30, 0.88982, 0.6512272793141152
20, 40, 0.92181, 0.6469553206261182
20, 50, 0.94204, 0.6442464722583237
20, 60, 0.95276, 0.6424266650156027
20, 70, 0.96093, 0.6422511294615619
20, 80, 0.96711, 0.6418649956590261
20, 90, 0.97122, 0.6426638761662267
20, 100, 0.97416, 0.6435719350683893

30, 10, 0.74721, 0.6992105371510565
30, 20, 0.84185, 0.6765256877758007
30, 30, 0.87781, 0.668185239063977
30, 40, 0.89756, 0.6639961997892122
30, 50, 0.90811, 0.6620495895317442
30, 60, 0.91494, 0.6614950733263776
30, 70, 0.9193, 0.6610449078196093
30, 80, 0.92254, 0.6612257901933933
30, 90, 0.92535, 0.6614459486269605
30, 100, 0.92695, 0.6618124891454147

40, 10, 0.75558, 0.7121132256272751
40, 20, 0.82723, 0.6890717848792672
40, 30, 0.85676, 0.6810816232665201
40, 40, 0.86993, 0.676431894990079
40, 50, 0.87836, 0.6748535895748956
40, 60, 0.88369, 0.6737933195214563
40, 70, 0.88682, 0.6730637066061099
40, 80, 0.88905, 0.6736431235399658
40, 90, 0.89096, 0.6738485508245032
40, 100, 0.89243, 0.6750712653424754

50, 10, 0.73793, 0.7157501811334398
50, 20, 0.80069, 0.6944899404371817
50, 30, 0.82173, 0.6862990636870041
50, 40, 0.83102, 0.6820652647492229
50, 50, 0.83629, 0.6805841710069525
50, 60, 0.83949, 0.6800958338655331
50, 70, 0.84214, 0.6805509620959208
50, 80, 0.84372, 0.681126370248767
50, 90, 0.84481, 0.6817627836780547
50, 100, 0.84568, 0.6825630134759095

60, 10, 0.72217, 0.7229834235246154
60, 20, 0.77295, 0.7024312038465418
60, 30, 0.78825, 0.694496959290988
60, 40, 0.79486, 0.6912695991873392
60, 50, 0.79909, 0.6905715863919902
60, 60, 0.80198, 0.6903916572752956
60, 70, 0.80377, 0.6907393552302492
60, 80, 0.80516, 0.6917364585302105
60, 90, 0.80601, 0.6922495060607529
60, 100, 0.80668, 0.6926705086804936

70, 10, 0.70174, 0.7338212569508916
70, 20, 0.74402, 0.7105915580986777
70, 30, 0.75574, 0.7034921713651192
70, 40, 0.76148, 0.7010899788299827
70, 50, 0.76493, 0.7000998371813214
70, 60, 0.76745, 0.7007168767885037
70, 70, 0.7695, 0.7011836803153735
70, 80, 0.77037, 0.7014963135010897
70, 90, 0.77122, 0.701638520249817
70, 100, 0.77188, 0.7016077471337197

80, 10, 0.68077, 0.7379645507365447
80, 20, 0.71643, 0.7176981133160781
80, 30, 0.72647, 0.7110654002491286
80, 40, 0.73165, 0.7091055846660608
80, 50, 0.7349, 0.7092316846178542
80, 60, 0.73706, 0.7089156731470118
80, 70, 0.73828, 0.7087308415868667
80, 80, 0.73911, 0.7082157071182159
80, 90, 0.73968, 0.7088147293323904
80, 100, 0.74016, 0.7094032566064861

90, 10, 0.65153, 0.7366391028966768
90, 20, 0.68155, 0.7208658178067903
90, 30, 0.69125, 0.7167364341991992
90, 40, 0.69548, 0.7143946037035273
90, 50, 0.69779, 0.7130564829770063
90, 60, 0.69907, 0.7133785246676909
90, 70, 0.6999, 0.7128427832155712
90, 80, 0.70059, 0.7131652686983712
90, 90, 0.70124, 0.7136789394603601
90, 100, 0.70151, 0.7139784804527627

100, 10, 0.61612, 0.7443931416550688
100, 20, 0.64339, 0.7263896030448472
100, 30, 0.65128, 0.7208872456088647
100, 40, 0.65513, 0.7192902367584523
100, 50, 0.65648, 0.7190040649453389
100, 60, 0.65766, 0.7178577104539626
100, 70, 0.65861, 0.7181959430159471
100, 80, 0.65938, 0.7180505953212686
100, 90, 0.6597, 0.7182045336024572
100, 100, 0.65995, 0.7182865210953486

